Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
St Swithins day,1.2,15.3,0,0,0,0.5,4.6,0.6,2.4,0,0,0,0,9.4,11.4,10.4,0.5,6,0,0,2.9,0.1,0,0,0,2.7,0.6,1.2,0,1.5,2.1,8.9,1,6.4,1.9,0,2,5.4,6.2,7
Jul.16,0,0.6,5.2,0,0.7,6.2,0,0,0,5.9,1.8,0,0.2,6.9,1.2,14.7,7,9,0,0,5.7,0,0.5,15,0,2.2,5.5,1.4,0,20.7,0,0.5,6.9,2,0,0,1.6,1,0.1,6.1
Jul.17,5,0,0,0,0.2,6.1,0.2,0,0,7.4,0,0,14.3,8.4,0.5,0.3,3.5,1.4,0,1.8,2,16.3,0,0,0,0,4.3,0.2,0,4,0,0.4,6.8,1.6,0,0,0.2,3.2,0.3,5.4
Jul.18,0.4,0.7,0,0,0,1.6,0,3.3,0,16.2,0,0,0.2,3.3,3.9,0.2,4.3,0,0,5.2,2.2,0.1,0,0.1,0,5,3.9,0,0,0,0.8,19.5,0.6,1.1,0,0,1.5,0.1,2.2,3.9
Jul.19,8.6,0.7,1.7,0,0,8.1,17.6,9.4,0,0.6,1.4,0,0.2,0.2,0.4,0.9,4.4,0,1.6,1.5,10.5,6.1,5.1,0.2,0,7.1,8.7,0,0,12.7,0.5,0.4,0.2,0,0.4,0.5,0.1,0.1,2,7.3
Jul.20,0.8,0.8,0,0,0,1.7,0,3.8,0,2.4,0,0,0,0,0.3,5.4,0.1,0.3,0,0,11,3.7,0.1,1.2,0,0.7,7.6,0,3,0.3,7.7,1.4,0.1,0,0,0.6,6.4,0,0.4,3.5
Jul.21,4.4,8.6,0,5.5,1.6,17.3,0,2.5,3.7,0.1,0,0,0.2,0,26.7,20.7,0.4,0.5,0,0,0.7,1.7,2.3,2,0,1.1,0.8,0,1.9,0.8,0,0.1,1.3,0.4,0,0.3,3.7,0,0.7,4.5
Jul.22,1.5,59.1,6.7,0,13,0,0.8,1.2,0.3,0.9,1.5,0,1.5,0,0,0.1,0,0,3.1,0.4,3.1,2.3,3.8,1.7,0,0.1,4.1,6.7,11,2.5,0,1.5,14,2.7,0,0,0.5,0,2.5,0.1
Jul.23,0,0,11.4,0,0,0,0.2,0,0,0,0,5.7,8.9,0,0,0,0.6,0,0.1,0,0.6,3.1,0.2,3.4,0,0,4.7,6,1,0.8,0,0.7,11.3,9.5,0,0,1.4,0,0.5,4.6
Jul.24,0,0.6,11.6,0,8.9,0.3,0,0,8.8,0.9,1.2,0.7,1.5,0,0,1.3,0.5,2.8,1.4,0,9.1,6.4,0.3,7.5,0,0,0.1,2.9,0.5,0.2,0,7.5,2.5,0,0,0,9,0,1.2,0.4
Jul.25,1.8,0,0.3,0,5,0,0,17,0,2,1.6,28,0,0.8,0,9.5,0,9.2,0,0,0.3,0,0,0.5,1.5,0,0.3,2.8,0.3,1.8,3.6,4,2.8,0,0,3.4,8.4,3.5,0.1,10.7
Jul.26,3.4,7.1,0.2,2.5,16.7,0,4.4,3,5.1,20.3,1.4,13.7,0.4,0,1.1,6.6,0,1.2,1.2,0,0,1.7,0,5,0.4,0,2.6,0.2,0.4,4.5,0.2,3.7,9.5,0,0,3.7,3.1,8.7,5.6,0.5
Jul.27,0,0,0,4.7,2.3,0,10.5,3.1,5.8,20.2,13.4,0,4.7,3.2,0.4,1.7,0,0.6,6.7,0,0,0,0.8,0,24.7,0,0.2,0.7,0.2,2.5,0,1.2,0.4,7.3,8.2,2,0.3,0.7,1.6,0
Jul.28,0,2,0,6.2,0,0.5,0,5.9,1.2,2.4,0.9,5.7,6.2,0,0.3,1.1,0,4.4,10,1.8,1.6,7.4,1.2,0,40.1,0,2.7,1,8.1,0.3,0,4.7,0,2.4,0.4,4.5,3,2.9,17.1,5.9
Jul.29,0.9,8,4.3,0.5,4.9,0,0,7.2,0,0.5,5.3,1.6,3.6,0,3.6,0.6,3.5,0,6.2,1.5,3.9,7.2,13.1,0,1.3,0,13.9,7.7,0.4,0,2.5,0.1,0.4,0,6.4,8.5,5.2,1.4,11.4,0
Jul.30,0,7.9,0,1.1,3.9,0,1.8,7,0,0,0.3,0.7,1.7,5.1,2.3,1,5.7,0,4.2,0.6,0,4.3,0.7,5.5,1,0,3.8,10.8,1.4,0.7,3.7,2.7,0,0.4,0.4,1.5,2.9,1.2,36.7,0.7
Jul.31,0.2,5.1,0,0,11.3,0,2,9.1,0,17.1,8.4,10.9,12,0,2.3,3.5,6.7,3.5,7.7,0,0,0.4,0.1,0,2.5,0,1.7,4.2,2.7,0.1,0.4,1.4,10.8,4.8,0,1.6,2.2,0.6,0.6,0.1
Aug.1,0.6,12.5,4.3,0.2,0.9,0,8.2,0,1,6.5,1.4,17.5,1.2,0.6,0,4,2.3,0.2,1.4,0,0,0.1,0,0,4.5,0,0.1,0.1,1.8,0,17.5,2.3,0,18.8,0,0.2,0.5,3.9,20,8.7
Aug.2,3.2,0,0.6,1.5,0,0,2,5.1,7.1,6.4,12.7,5.8,0.4,0,0.2,1.9,12.7,0,0.2,4.3,4.2,0.8,0,0.9,4.1,7.8,7.3,0,0.1,0,3.4,5.3,18,0,2.7,0,0.5,1.1,1.7,7
Aug.3,0.9,3.5,1.9,9.1,5.6,11.4,0,1.5,7.8,5.6,0.6,2.3,0.2,0,0.4,3.6,2.7,3.4,0,4.2,0,0.5,0.8,1,0.4,2.6,0.2,0,0.2,0,1.2,0.5,1.8,0.5,1.1,0,0,1.1,2.2,6.1
Aug.4,14.9,10.8,2.2,22.5,12.3,22.1,0,0,1.4,12.5,1.1,0.1,0,0.7,0.3,0.2,0.2,1,4.5,1.5,0,0,0.5,6.8,0.4,0,0,0,1.9,0,7,0.5,12.9,6.6,0.6,1.8,0,0.5,6.4,0.7
Aug.5,5.1,0.3,0,12.4,1,6,0.6,1.3,0,23.5,4.3,0.1,0,0,0.4,0.1,7.3,1,0.6,0.1,0.3,19.6,1.9,2,0.1,5.9,8.1,0,30.6,0,0,0.4,2.1,7,0,11,3,0.2,39.2,2.5
Aug.6,1.1,7.9,0,15.3,0,6.4,0.3,4.8,2,0.2,1,3.3,2.4,1,1.3,2.9,1.5,10.2,0,0,0.1,0,0.8,8.3,0.1,13.7,6.8,0,0.4,0,0,1.3,0,0,0,1.4,1.4,0.9,2.2,1.2
Aug.7,7.2,0,0,4.1,1.6,2,0.9,2.9,3.9,0,0.7,0,0.2,0.8,0,0.3,0,0,0.2,0,0,0,0.2,4.3,0,0,10.5,0,0.2,0,0,0.5,0,0.3,0,0,0,1.5,0.2,0.1
Aug.8,4.4,0,0,5,0,17.6,0.7,0.6,0,1.1,0,8.8,0,0.9,1.4,0.1,13.1,0,3.4,0,0,0,0.6,8.7,16.8,1.2,0.3,1.5,5.3,0,0,1.7,0.1,7.7,5.8,8.4,10,1.9,0,12.2
Aug.9,2.9,0.7,0,0,0,0,1.1,0,1.7,1.3,0.2,0.6,0,21.5,7.9,3.3,0.8,1.3,1.1,0,1,0,0.1,0.4,0.8,0,0,5.8,0.1,0,0,1,1.2,0.2,0.3,0.5,8,0.1,0,3.5
Aug.10,2.2,6.2,0,5.8,1.2,7.5,0,0.2,2.6,2.5,6.6,2.6,0,13.5,1,0,17.4,6.6,3.3,0.5,1.7,0,3.5,0.2,0,0,0,0.6,0.5,0,0.2,3.7,1.9,0,1.7,14.5,1.4,0.4,0,5.7
Aug.11,0.2,8.7,0,0.8,0,0,3.8,1.9,0,0,8.4,3.2,1.4,0.4,0.3,2.9,9.2,21.9,1.3,0.9,12.3,0,0.1,2.3,0.2,3.6,6.7,4.6,0.1,2.9,0.7,1,11,0,1.2,4.7,12.2,0.5,0.5,2
