Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
St Swithins day,0.2,12.2,0,0,1.4,0,3.9,0.4,1.9,0,0,0,0,0.9,8.6,3,0,0.6,0,0,5.9,1.2,0,0,0,4.8,0,0.4,0,0.9,0,1,2,0.2,2.4,0,0,16.1,0.4,0.5
Jul.16,0,8,0.2,0,0,0,0,1.3,0,12.3,0,0,11,4.2,11.2,0.1,0.3,7.1,0,0,0,0,0.1,0,0,0.1,0.2,6.4,0,39,0,2.5,3.3,0.2,0,0,0,0,0.3,0
Jul.17,0,0,0,0,1,1.9,0,0,0,0.2,0,0,8.8,1.1,0.3,0,0.6,5,0,0,2.3,3.8,0,4.6,0,0.8,5,0.8,0,8.8,0,0.1,0.6,0.2,0,0,0,2.3,0,4.4
Jul.18,2,10,0,0,3.2,0,0,0,0,6.7,5.3,0,1.6,1,3.6,0.8,0.2,3,0,0.1,0,0.9,0,1.1,0,10.8,0,0,0,2.2,0,13,2.3,1,0,0,0,1,0,0
Jul.19,0,1.5,0.4,0,0,3.9,0,9.7,0.1,1.8,0,0,0,0,3.7,6.8,0.2,0,0.2,0,0,0.9,6.5,0,0,4.8,4.5,0,0,0,0,3.4,5.7,0.3,0,0,0.5,3.1,0.7,3.5
Jul.20,4.1,2.5,0,0,0,0.7,11,4.3,1.3,0.3,0,0,0,0.2,2.6,0,0,19.4,0,0,3.6,0.1,0.5,3.1,0,1.2,1.6,0,0,3.1,0,0.1,2.5,0,0,0,0.3,0,0,4
Jul.21,1.4,2.6,0,0,0,6.9,0,7.5,0.3,0.3,0,0,0,4.6,0.1,16.8,0,2.8,0.1,1.2,0,1.6,0,0.9,0,0,0.4,0.9,7.5,0,0.4,0.1,0.8,0,0,2.3,1,0,0.4,1.2
Jul.22,4.3,28,0,0,2.4,0,0,0,1.7,0,0,0,0,0,0.1,12.7,0,4.8,0,0,0,0,0.5,0.2,0,0,7.8,7.7,8.4,0,0,1.2,0,4,0,0,0.6,0,0.2,0.3
Jul.23,0.2,5.3,5.1,0,4.2,0,0.9,0,0,0,0,3.9,1.4,0,0,4.9,0,5.8,0,2.2,0,6.2,1.4,0.1,0,0,0.2,1.5,0.8,2.1,0,1.7,5.5,2.1,0,0,0.6,0,2.6,0
Jul.24,0.4,0.5,6.2,0,4.6,0,0,0,0,0,0,13,14.4,0,0.8,5.7,0,1.4,0,0.1,0.1,1.8,0,0.1,0,0.1,0,2.6,0,0,1.5,9.6,0,6.3,0,0,1.2,0.2,2.1,0
Jul.25,1,0,0.2,0,6,0,0,0,0.5,0,0,20.5,0.5,0,0,0.4,11.3,1.1,0,0,0.3,0.2,0.1,0,0,0,0.1,2.8,0,0.2,2.2,3.1,1.7,0,0,0.5,3.4,0,1.1,1.5
Jul.26,2.2,7.9,0,0,3.2,0.1,0,7.1,8.5,11.8,0.6,1,0,0,0,5.3,0,2.2,0,0,0.7,0,0,0,0.2,0,15.3,5.8,0,0,3.8,1.6,0.4,0,0,0,3.7,0.9,0,26.1
Jul.27,0.3,1.3,0,5,11,0,1.9,0.9,0.6,6.8,0.5,0,0,4,0.1,0.5,0,1.2,0,0,0.5,2.4,0,0,5.6,0,3.3,3.3,1.6,0.2,0,0.4,0,0,0.6,0.4,4.3,0.9,7.2,0
Jul.28,0,0.5,0,5.1,0,0,14.4,0.2,1.5,1.6,0.8,11.1,3.2,1.6,0.1,1,0.2,1.1,1.3,32.6,0,3.6,1.6,0,0.9,0,0.2,0,5,0.2,0,0.5,0,0,1.4,0,28.9,0,5.9,23
Jul.29,1.2,0.7,0.2,0,0.5,1.6,5.6,0.2,3.6,0.9,0.5,4.7,1.3,1.8,0,2.3,5.1,0.3,1.2,24.3,1,3.5,4.4,0,9.4,0,1.2,4.7,0.9,0,0.9,0.2,0,0,0.7,2.7,1.1,0.1,2.7,8.3
Jul.30,0,3.2,9.1,26.9,7.9,15.8,2.3,2.6,0.3,0.2,0.7,0,0,0.1,4.7,0.1,11.1,0,3.5,6.2,0.1,0,1.4,1,1.6,0,3.9,0.7,1.5,0,0,2,0,0,0,0.3,2.6,0.5,9.2,0
Jul.31,0,4.2,2.9,0.7,4.4,0,0,1.8,0.1,1.6,1.6,7.6,3.9,0.5,0.8,2.2,12.3,0,1.2,1.6,0,5.1,7,3,12.8,0,3.2,2.2,0.3,0,1.2,0.1,0,0.5,0,0.9,0.3,0,0.3,0.2
Aug.1,0,9.1,1.9,0,1.5,0,5.8,0.7,0.8,0,1.7,3.2,1.8,0,6.7,1,8.6,0.6,0.1,0.7,0,0,2.2,0,6.7,0,0,0.2,0.7,0,0.2,0.3,0.6,0.3,0,0.3,0,11.5,10.8,1.7
Aug.2,0,9.4,0.2,0,2.1,0,0.2,2.8,3.2,5.8,84,8.2,0,0.5,0,0.4,1.6,0,0,0,0.4,0,8.4,20,4.9,4.2,4.2,0,0,0,9.5,2.2,0.2,0,0,0.1,0,1.5,0,1.7
Aug.3,0,0,0,0.8,0.1,0.9,0.7,1,1.7,0,5.4,3.9,3.8,0,1.4,5.8,0.5,0,0,0,0,0.5,1.7,1.7,0.2,1.9,5.2,4,0,0,0.3,0,4.7,0,0,0.7,0,0,0,0.4
Aug.4,2,5.3,0,0.3,2.8,5.9,0,2.7,0.6,0.4,0,5.2,3.8,2.7,5.2,0,0.1,11.6,0.4,2.3,0.2,0,0.1,8.8,0,14.4,0,10.7,0,0,1.5,1.3,0.2,0.7,0,0,0.7,1.2,11.3,24.5
Aug.5,1.2,48.6,0,25.8,1.2,0.1,0,0.8,0,5.7,17.3,0.2,1.9,0,0,0,7.8,14.3,0,0,0.3,0.5,0,3.1,0.6,35.7,0,1.2,8.1,0,1.3,0,0,3.7,0,13,0,0,32.4,4.5
Aug.6,0,2.6,0,1.6,0,5.4,0.6,3.2,0,0,0,0,0.4,5.3,0.8,0,23.8,10.5,2.7,0,1.2,0,2.7,16.7,0,10.4,0.3,0.9,41.5,0,0,0.2,0,10.5,0,0.1,0,0,6.5,1.2
Aug.7,0.4,0.1,0,9.1,0.2,0.3,0,0,0,0.4,0,0,0.1,1.1,2,0,3.7,0.3,0,0,0,0,1.9,0.3,4.4,8,0.2,0,0,0,0.5,0,0,0.1,0,0,0,0,0.1,1.8
Aug.8,0.5,0.1,0,0.4,0,2.9,0.1,0,0,0.4,3,0.1,0,1.6,0,0.1,0.4,0,4.1,0,2.8,0.1,6.7,14.6,0.3,1.5,0,0,13.5,0,0,0.1,0.7,0,0.5,0,5.9,0,0,1.2
