Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
St. Swithin's Day,0,1.9,0,0.3,0,0,1.4,5.2,1.6,0,17.2,0,11.3,4.5,4,0.3,0.2,17.3,0,0,0.2,21.7,0,0,0,0,0,1.1,0,2.3,0,10.3,4.8,2.8,0,0,2.1,7.4,4.6,4.3
16-Jul,3.2,11.8,0,0,5.3,9.7,0.7,0,0,3.9,0.5,0,5.3,5.4,1.3,0,0,0.3,0,0,1,13.5,0,0.2,0.6,15.5,2.5,10.3,0,1.3,0,0.9,4.1,0.8,0,0,0.6,4.8,1.3,11.9
17-Jul,6.8,8.5,0,0,1.8,1.1,0.7,0,0.3,8,6.7,0,10.1,2.2,4,2.9,3,2.3,0,4.5,0.4,10.7,0,2,0.2,0,6.9,0.1,0,23.8,0.4,10.1,18.5,6.2,0,0,0,4.7,0.5,0.7
18-Jul,0,0,0,0,0,0.3,0,1.6,0,18.3,0.5,0,2.2,0.2,0.8,3.1,2,8,0,0,23.7,9.1,1.5,0.1,0,13.3,30.9,0,0,0.9,0.2,2.2,1,2.5,0,0,5.3,0.1,0,7.2
19-Jul,30.8,0,0,0,0,4,2.6,2.8,1.1,4.1,0,0,0,2.2,4.8,1.1,0,0,0,4.8,13.2,2.1,4.2,2.6,0,9.3,13.6,0,0,10,1,0.8,0.8,0.3,1.1,0,0.2,0,3.9,3.1
20-Jul,0,3.5,0,0,0,3.9,0.5,15.3,6,3.2,2.5,0,0,0,3,1.3,0.4,9.1,0,0.6,1.7,0,0,0,0,2.4,5.7,1.4,9.2,1.5,4.3,0.2,0.7,5,0,1.9,9.7,0,0.2,0.7
21-Jul,6.2,16.3,0,0,10.8,26.4,1.2,20.5,7.1,1.1,7,0,0.6,0.1,1.3,4,2,0.2,1.5,0,0.5,1.5,0.9,7.2,0,0.8,1.2,0,2.9,0.3,0.4,2,5.5,0,0,0.2,0.6,0,0.6,2.4
22-Jul,4.6,6.8,19.5,0,14.5,0,5.6,0,2.5,0.4,2.5,0,5.2,0,5.2,4.4,1.1,0.8,6,6.1,1.9,13.2,10.2,0.4,0,1.1,2.5,27.9,0.9,1.2,0,8.5,22,11.9,0,0.1,3,0,0.5,0.6
23-Jul,3.7,0.2,5.4,8.6,0.4,1.2,0.9,0,0.4,1.4,0,1.1,8.4,0.8,1,15.7,0,0,1.5,3.4,0,4.1,0,8,1,0.1,0.9,11.7,0.4,1.8,2,1.9,1.5,8.5,0,0,14.2,0,5,0.3
24-Jul,2.7,0,6,0,9.5,10.6,0,0,2,0,0,2.5,7.7,1.1,0.7,1.3,0.5,7.5,16,0,0.3,10.8,3.8,7.5,0,0,0,1.1,9.6,0,0.5,5,6.2,1.8,0,2.9,12.4,0,3.2,0.7
25-Jul,0.4,4.3,0.5,0,3,11.3,1.6,22.2,7.1,21.5,0.7,0,0.3,0.5,1,14,0,27.6,2.1,0,2.2,5.3,0.2,3.1,0,0,11.3,14.1,2.2,0,10.2,5.1,7.7,2.3,0.1,1.3,7.4,1.9,5,0.3
26-Jul,7.1,15.1,0,6.2,17.3,0,3.5,7.9,5.2,3.3,0,0.5,0,0.5,2.4,3.8,0,1.3,1.4,0,0.4,1.4,4.8,2,3.1,0,1.2,0.2,0.5,0,1.2,5.1,3,6.8,4.6,2.6,0.8,3.6,7.5,0
27-Jul,1.4,0,0,4.6,1.1,1.3,13.4,4.6,7.6,4.2,0.1,5,7.6,0,0.3,4.4,0,0,3.4,0,0,7.2,7.8,0.2,4.5,0,1.4,0.4,13.6,6.5,0.2,1.2,0.5,19.9,5.9,0.9,4,2.6,4.6,0
