Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
1,1,0.1,6.7,0,1.7,0.8,10.6,0,1.5,10.6,4.3,0,18.3,7.8,9.2,4.8,1.1,0.1,0,4.1,0,1.3,0.5,0,0,0,0,0,1,3.3,0.2,0,0.1,0,0,0,12.2,0,0,0.5
2,13.2,0,0,0,2.1,1.9,0.2,0,3.1,38.5,3.2,0,0,33.8,0.1,1.4,1,0,6.4,8.8,0,7.5,0.1,0,0,0,0,0,0.2,0.9,11,0.1,0,0,0,0.6,11.7,0.6,19.1,0.4
3,0,0,0,12.1,0.6,0.1,0.3,0.1,0,11.3,4.8,3,6.9,0.1,0,0.1,11.2,0,0.4,8.6,1,9.2,0,0,0,0,0,3.3,0.2,0,8.1,0,0,0,0,1,1.2,0,1,5.8
4,0,15.4,0,0,0,0,0,0,2.3,5,3.2,0.2,4.4,12.6,0,0,4.8,0,1.6,0,11.8,17.6,0,0,0,0,0.1,9.6,0,0,1.5,0,4.7,0,0,0,0,0,3.4,4.2
5,0.1,2.6,0,0.7,10.7,0,0.3,0,0.1,8.9,8.1,0,0.1,23.9,0,0,0.4,0.1,1.2,0.4,0.4,0.1,0,0,0,0.7,0.5,0,0,0,1.5,0,0,0,0,0,0,0,8.3,1
6,0,2.4,2.2,0,14.3,0,0.2,0,0,0.3,3.9,0,5.6,8.5,0.3,3,0,4.6,7.3,0.1,0,0.9,0,0,0,2.3,0.7,0.3,0,0,1.4,0,0,0,0,0,0,0,6.2,0
7,0,10.8,0,11.9,8,14.1,0.2,0,11.2,0,1,24,5.7,7.4,2.9,1.7,0,0.4,0.1,0.3,0,2.2,1.2,0,1,3.6,1.5,0.8,0,0,0.7,0,0,3.3,0,0,0,0,5.4,0
8,0,2.9,0,11.2,0,14.2,2.2,0,3.2,16.8,2.4,6.2,0,7.8,0,0.4,6.9,1.8,6.3,0,0,0,0.9,0,0,11.5,2.9,2.1,0,0,4.7,0,5.4,0,0.2,0,0,0,1,1.3
9,0.1,0.2,4.7,7.1,0,0,3.6,0,17.8,0,5.2,8.3,6,1.5,0,0.9,0,4.6,0,0,0,3.1,0.7,0.2,0,11.6,1.3,3.6,0,0,0,0.2,3.6,1,0.1,0,0,0,7.3,0
10,0,0.2,1.5,8.1,0,0.3,0.4,0,11.3,6.8,2.4,4.3,3.8,4.3,0,0,2.3,0,0,0,0,0.4,0,0,0,6.8,0.2,10.1,2.4,17.2,25.9,0,6.8,0,0,0,0,0,5.6,0
