Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
1,1.2,0.3,6.4,0,2.6,0.2,2.4,0.1,1.2,0,7.3,0.1,18.2,0,1.2,1.1,0.3,0,0.1,0.3,0,4.8,4,0,0,0,0,0,14.8,0.2,0.1,0,3.2,0,0,0,1.8,2,0,0.5
2,4.2,0,0.1,0,0,1.4,2.1,0,5.2,23.4,0,0,0,0,1.4,0.4,0.2,0,1.8,5.8,0,2,0.7,1.2,0,0,0,0,2,1.5,0,0.2,0,0,0,0,10.7,1.9,0,0
3,0,0,0,10.2,0,0,0.5,0,0,18.7,0,1.2,0,0,0,0,2,0,0,22,3.1,1.2,0.3,1.9,0,0,0,0.6,0.1,0,3.4,0,0.1,1.7,0,2.2,17.7,0,10.1,0
4,0.1,6.3,0,1.3,0,0,0,0,0,0,0.1,0.2,0.1,2.6,0,1.1,0.2,0,3,0,8.3,11.3,0,0.2,0,0.6,0.1,7.1,0.2,0,2.6,0,4,0,0,0,3.7,0,3.8,0
5,0,0,0,2.7,0,0,0,0,0,10.5,2.1,0,1.9,1.2,2.9,0.2,0,0,0,0.2,10.4,1.4,0,0,0,0,2.9,7.8,0,0,2.8,0,0.7,0,0,0,0,0,0.1,9.6
6,0.2,0.4,9.6,0.1,0.1,0,0,0,0,3,1.9,0.6,0,1.2,3,1.3,0,2,0.5,4.3,0.3,0.5,0,0,0,1.5,1.3,2.2,0,0,0.2,0,0,0.2,0,0,0,0,0.8,1.6
7,0,4.9,0.1,0,1.3,0.2,0,0,6.5,0,1.7,0.2,8.2,3.6,1,1.7,0,2.1,0,0.5,0,0,2.1,0,0,0.8,2.5,3.1,0,0,0,0,0,0,7.7,0,0,0,0.5,0
8,0,15.8,0,20.4,0,4.8,0.4,0,0.3,12.5,3.1,6.5,0.8,0.6,0,0.6,0.3,2.1,13.6,1,0,0,0.1,0,0,1.1,0.8,1.1,0,0,4,0,0.7,0,6.8,0,0.2,0,0.9,0
9,0,0,1.7,0,0,13.7,1.6,0,0.4,0.9,6.3,4,5.2,0.8,0,1.1,1.9,3.4,0,0.3,0.5,0.9,0,0,0,0.6,0.9,4.6,0,0,0,0,2,1.4,1.5,0,0,0,2.7,2
10,0,1.5,0.1,3.6,0,0.1,0,0,11.4,0.8,7.8,2.9,9.5,0.2,0.6,0,5.4,0.5,0,0,0,0.5,0,0,0,3.8,0.5,9.1,0,0,2.2,8.9,8.2,0,2.4,0,0,0,0.5,0
11,0,6.2,0.2,0,0,0,2.1,0.4,0.3,0.9,5.6,3.6,2.4,0.9,5.7,0,0,3.3,0,0,0.1,3.5,0,0.1,2.7,0,5.1,3.4,1.2,0,2,0.5,0,0,0,2.9,0.2,0.4,3.9,0
12,1.5,0,0.7,1.4,0,0,3.8,3.2,0,0,6.7,2.1,0.1,1.3,0.2,0,0,0,16.7,0,0,0.9,0,0,0.1,3.1,0,1.5,2.7,1.3,0.8,0,0.1,0,0,1.7,0.1,0.4,2.2,0
13,6.4,0.1,0,0,0,0,0,3,0,0,0.4,2.8,0.1,4.3,2.1,3.5,0,0,0.2,0,0,1.2,4.2,3,0.2,6.8,0,0.6,0,0.2,0.2,9,0,0.1,0,3.1,0,1.5,5.3,2.9
14,3.5,0.2,0,0,0,0,0,0.3,0,0.5,0.1,0.1,1.8,1.7,2.1,8.6,0,0.6,6.3,0,0,0,0.7,0.3,0.2,0,3.6,0,0,0,0,12.4,0,0,4,0,0,5.1,4.3,6
15,0.4,0,1.6,3.8,0,0,0.6,3.9,0,0.5,0,0.8,0.3,0.8,0,16.2,0,1.1,13.5,0,0,11.5,0,6.9,0,0,0.1,0,0,0,25.6,1.8,0,0,2.6,1,0,0,0.1,22.5
16,0.7,0,5.7,0.1,0,0,0,0,0,0,0,0.1,1.1,0.4,0,5.1,0,4,0.1,0.3,0,8.9,0.1,18.8,17.5,0,0,0,0,3.8,3.6,12.1,0,0,1.2,0,0,2.1,0,0
17,0.1,0,11.4,0.7,0.2,0.4,0,1.2,1.1,1.8,0,0,1.7,0.7,0,7.6,0,0.1,5.6,0,0,3.9,49.6,1.7,2.9,0,0,0.5,0.9,6.8,0,10,0,0,0,0,10,0.7,0.2,0
18,0,0.1,1.5,0.1,0.8,0,0,0.1,0.4,3.9,7.5,0.6,2.6,0.4,1.9,10.9,2.4,1.9,4.9,1.7,0,5.1,0.3,0,0.3,0,0,16.1,1,7.1,0,0,0,0.1,0,1.6,7.9,0,0,0
19,0,0.1,0,10,0,0.2,0,0.1,4.6,0.3,3.4,0.1,1.5,0,0.6,5.7,0,0.6,5.3,0.2,0,6.3,1.2,0.3,0,0,0,3.3,6.1,0,0,5.7,0,0,0,0,0,0.2,0,6.9
20,0,0,0.5,6.2,0,0.5,1.3,6.8,1.5,0.1,8.2,0,0,1.1,0,3,0,0,2.4,1.6,0.8,9.9,0.4,0,1.7,0,0,0.1,8.5,0,0,0,0,0,0,0,0,0,0,7.1
21,0,0,0.1,0.2,1.2,0,0.6,0.2,12.4,0,0,0,0,5.7,0,0.8,1.6,0,22.9,0.3,0,6.6,6.9,0,1,0.2,0,0.3,1.2,1,1.3,4,0,0,0,0,0,0,4.3,0.5
22,0,0,1.3,4,2.3,0,0,0,1.4,0,0.5,0,0,2.2,0,4.7,9,0,1.9,0.8,0,0.7,18.5,0,1.2,0,0,0,2.8,1.8,0,1.1,0,0.1,0,0,3.9,0,1.1,0
23,0,0,1.3,0.3,0.7,0.1,0,0,0,0,2.7,0.6,0,3.1,0,0.4,0,0,5.5,7.6,0,9.3,3.4,0,4.1,0.5,0,0,3.5,0,0.9,2.1,0,0,0,0,0.7,2.9,0.7,7.1
24,2,0,0,5.1,0.1,0.3,0.2,0,0,0.2,16.7,0,0,0.5,0,0,0,0,3.7,11.3,0,0.4,3.2,0,3.1,3.1,0,0,0.2,0.9,2.7,4.1,0,0,0,0,0.3,0,1.6,0.5
25,1.6,0,0.7,0,0,0,0.1,0.1,0,0,0.5,0,0,0.3,0,0.1,0.3,0,0.9,3.8,0,0.2,1.6,3.9,4.2,0,0.1,0,1.5,0.9,0.1,6.7,0,0,0,0,0,0.4,0.8,0.2
26,9.7,0,2,3.2,0,0.4,0,0,0.1,0.2,6.3,0,0,2.8,0,0,1.6,6.5,8,0.4,0,1.1,0,2.8,0.2,0,0.4,0,8.7,0,0,42.6,0,0,0,0,0,0,0.5,0
27,0.5,0,0,7.4,0,8.3,3.2,20.6,0,2,0,10.6,0,0.3,0,1.3,7.5,4.6,0.7,1.5,1.2,0.5,4.4,0.4,2.1,0,2,0,0.1,3.8,0,11.5,0,0,0,0,5.2,0.1,1.9,2.6
28,4.4,0,0,0,0,0,0.1,0.1,0,0.1,0,3.5,0,0.1,0,0,0,1.3,0.2,0,13,1.7,12.8,7,1.7,16.8,3.4,0,4.2,4.6,0,3.3,8,0,0,0,0.4,0.2,4.2,0.1
29,0.2,0,0,0,0,1.9,0,2,0,4.4,2.6,5.2,0,0.2,6.6,0.1,0,0,0.1,0,0.1,3.1,4.4,0,5.5,0.1,2.7,0,0.3,10.7,0,4.7,12.2,0,12.4,0,3.2,2.6,0,0
30,0.1,0,0.8,0,0,0.4,0,1.4,0,4.7,0,0,0.7,0,0,0,0,0.9,0,1.7,5.8,0,2.4,0.9,0,0.2,0,0,8.3,4.5,0,8.9,0.3,0,0.3,0,4.3,0,12,0
31,0,0,2.6,0,0,0.5,0.1,0,0,1.1,0,0,4.2,0,8.7,0,0,0,0,1.5,6.3,0,0,0.4,1.5,0,0.8,0,1.5,0.1,0,0.1,0,0,0.6,0.6,4.3,1.2,0,0
