Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
1,0.1,0,0,16.4,6,2.1,0,12.5,1.4,0,10.7,2.1,0,1.3,0,4.3,4.6,0,0.1,0,2.3,0.6,29.6,4.9,6,0,0,4,0,2.2,19,0.7,0,6.7,12.4,0,15.8,30.7,0.7,0.4
2,0.4,0.5,0,5.8,2.8,0,1.5,6.4,1.6,0.2,0.6,0.3,0,2.1,0.4,0,3.4,0,0.1,0,12.1,2.4,6.1,3.2,0,0,0,0,0,10.3,2.4,0,0,0,5.1,0.2,3.8,0.1,0,0.6
3,0,0.5,8.1,0.2,0.1,3.9,1.7,0.4,0.8,0.8,16.3,0.1,0.2,3.5,2.6,2.7,5.5,0,0,0.3,22.5,5.5,11.4,8.3,3.2,0,0,4.7,2.1,0.7,31.5,0,0,7.9,0.6,1.2,8.5,0,0.4,1.1
4,0,0.9,2.3,4.8,0.2,0,0.1,2.9,0.3,0,16,1.5,4.9,2.4,22.1,2.6,9.8,0.1,0,2.3,17.2,0.9,17.7,10.2,1.3,0,0,7.6,7.7,0.3,1.1,0,0,16.4,20.7,5.2,1.1,0.5,0,0.6
5,0.8,0,2,0.5,0,9.3,2.7,0.6,10.6,0,10.2,10.9,1.9,12,4.1,0.1,5.1,0,0,0.1,0,2.2,2.2,10.7,5.2,0,0.2,0,25.5,2.4,9.1,0,0,0,12.6,0,2.6,6.1,0,4.8
6,10.2,0,3.2,0,0,7.8,0.3,19.5,11.3,0,0,0,1.3,5.2,0.1,0,3.6,0,0,0,14.4,1.5,0.2,12.8,2.6,0.7,5.6,2.3,0.7,0,8.6,0,0,0,16,0,0.3,1.1,0,20.2
7,1,0.1,0.2,1.1,3.8,2.4,0.5,1.2,13.8,0,14.6,1.5,2,2.9,0,0,1.3,23.2,0.6,2.3,1.5,0.8,3.8,24.5,5.8,0,0,0,28.5,3.8,0,0.4,0,2.4,16.1,3.8,6.1,4.2,0,29.6
8,24.4,1.3,2.4,0.6,17.3,11.4,2,1.7,12,0.2,17.1,0,4.3,7.4,0.1,3.9,3.6,0.8,0.1,2.2,0,6.7,7.8,0.6,4.5,4.8,0.1,1.5,16.2,2,2.7,1.1,12.5,0,1.7,0.6,6.4,6.4,0,29
9,1.1,0,0.2,0.1,22,0.3,1,5.5,0.3,0,8.1,7.1,0.9,17.4,0,0,0,4.1,0,0.6,0,0,5.6,15.2,3.4,0,0,7.8,24.2,19.9,0,0.8,3.7,0,1,13.3,5.1,12.5,0,2.6
10,9.4,0.6,0,1.1,4.9,1,3.8,0,2.1,0,12,3.5,1,0.5,0,0.9,0,9.2,0,6,0.5,11.7,11.5,7.4,9.6,0,1.4,9.3,8.5,8.4,10.9,0,0.8,0,8.2,0,6,0.1,0.4,0.9
