Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
1,0,6,3.3,13.8,4.3,0.5,4.6,0.7,11.8,2.5,14.9,3.1,0,6.5,9.9,0,0.9,0.4,0,0.4,10.9,12.5,12.3,0.9,1,0.1,,2.8,,0.5,5.3,0.6,0,0.3,21,0,14.7,3,0,0.2
2,0.9,0.4,0.3,5.5,3.9,0,4.9,2.2,9.8,0.4,2.8,2.9,0,9.2,1.3,5.4,6,0,0,0,9.8,11.7,6,6,2.3,0,,0.3,,5.3,0.1,0,9.3,0,6.3,6.4,11.4,1.9,0.1,1.8
3,1.3,0,5.5,4.7,5.4,7.3,3,1.8,4.4,2.1,6.7,0.9,3.7,23.4,3.9,0.9,7.6,0,0,0.3,0.1,7,4.5,2.6,2.5,1,,10.8,,4.2,6.4,0,11.8,12.9,13.3,5.2,10.9,0,0.1,0.5
4,0.6,2.1,5.2,0.7,0,0.6,0,0,3.7,0.2,1.1,9.4,8.5,21.8,6.5,3.5,9.3,0.3,0,7.5,5.1,2.7,8.9,3.5,0.1,3.2,,0.3,,1.3,9.9,0,0,0,14.3,9.1,2.7,4.1,0.1,0.1
5,15.1,0,21.6,0.3,0,5.5,3.9,0.8,2.9,0.4,3.4,8.9,1.3,1.3,0.1,2,3.5,0.6,0,5.3,2.1,0.1,5.7,11.3,1.2,3.9,,0.4,,2.6,0.8,0,0,0,9.2,1.3,2.3,3.7,0,0
6,0,2.3,2.4,0,0,12.9,5.9,3.7,13.7,0.2,1,2.8,1.3,28,0.1,3.7,5.6,0.2,0,0.7,6.8,1.8,7.6,10.4,9.7,7.6,,2,,5,0.3,0,0,0,22,9.1,3.2,0.6,0.1,9.1
7,0,0,1.6,0,5.6,14.7,2.4,0,14.2,0,8.2,12,0,5.5,0,1.1,8,0.1,9.2,1.4,9.7,1.3,0.9,0,6.2,3.2,,0.6,,1.9,1.3,0,0.3,0,6,0.4,12.7,7.9,0.5,0.1
8,10.5,4.1,2.5,0,43.8,32.9,9,0,18.9,0,7.1,2.7,11.5,1.4,0,3.7,1.8,0.2,0.7,0.6,0.6,1,8.3,0.1,4.6,3.9,,3.7,,0.1,2.6,0,3.5,0,4.9,0,20.6,3.1,0,1.5
9,1.1,0.6,5,0,8.9,0.9,6,0,2.5,0,1.8,8.6,10,6.8,0,0,2.3,0.2,0,4.7,0.1,11.1,5,1.2,6.1,8.8,,7.8,,18.2,0.2,0,10.5,0,0,4.7,24,24.1,0,0.1
10,0.3,0.3,3.2,0,19.4,12.2,11.8,0,0,0,11.3,13.8,1.3,0,0,5.4,0.1,3.2,1,2.5,0.1,5.7,8.9,6.4,4.4,0.6,,6,,7.3,12.6,0,4.7,0.8,7.3,2.7,10.7,1.9,0,0
11,6.7,0,9,0,6,0,9.2,0,1.9,0,8.6,7.3,0.2,1.9,0.3,2.3,0,3.4,8,14.6,0,0.2,8.7,0.1,11.1,1,,10.1,,9.2,0.4,0,0.1,4.7,19.8,9.4,4,0.6,0,0
12,6.1,0,5.4,2.2,15.9,0.6,8.7,0,4.5,3.7,18.9,2.2,0.4,2.6,0,0.1,0,2.4,0.3,8.6,0,0,2.9,0.1,6.1,0.1,,6.5,,1.8,0,0.5,9.3,1.4,5.7,5.5,7,0.2,0,0
13,1.9,0,15.2,3.4,1.8,0,1.5,0,0,3.8,10.8,10.3,0.2,0,1.4,0.2,0,3.2,4.3,3.6,0,0,0.2,0,3.6,1.7,,1.6,,8.8,0,8.8,6.6,0.1,6.5,7.7,5.1,0,0,0
14,1.8,4,9.8,4.7,3.7,0,8,0,0,0.1,14.2,0.9,1,1.6,1.9,0,0,1.5,11.4,0.4,0,0,0.9,0.1,3.2,0.2,,1.4,,17.4,0,7.9,3.7,3.8,3.7,8,6,0,0,0
15,1.3,1.2,7.9,2.3,21.8,1.2,7.3,2.6,0.3,10.5,4,0.9,0.1,4.9,9.3,0,0,7.2,13.9,0.1,0,0,0,0,7.6,0.3,,2.9,,9.3,0,0,4.7,0.3,0.5,1.7,3.6,0.1,0,0
16,1.8,7.1,10.1,5.8,8.9,1.4,1.8,6.5,13.1,2.5,3.8,0,0.6,0.1,0,0,0,0.4,12,1,3.5,0.9,1.8,0.1,13.4,4.2,,12.2,,4.1,0,0.7,3.4,0,13,6.1,0.9,0,0,0
17,2.9,6.9,18.6,17.1,8.6,1.4,0.7,0.5,0.1,0.2,9.9,0.1,9.6,0.1,0.1,0,0,0.3,0.1,1.2,0,0,4.1,0,7.8,1.8,,17.2,,2.3,6.8,0,9,1.7,17.9,2.5,3,1,0,0
18,5.1,0.9,11.3,14.6,5.3,2,4.3,0.8,3.1,5.9,0.4,0,5.6,5.6,1.4,1,0,3.8,0.1,2.3,0,0,21.5,0.7,5.6,9.8,,12.4,,15.4,0,2.4,0,0,4,8.5,0,0.5,0,8.6
19,4.3,0.8,19.2,6.7,18.2,6.5,0,1.3,4.5,7.6,19.5,0,1.4,0,5.9,0.2,0.2,2.8,0,0.8,0,0,23.2,0,0,3.6,,10.6,,17.4,1.3,2,0,1.1,3.8,5.5,0.1,0.9,0,0.4
20,2.2,0,10.9,3.8,18.1,0.6,0,0.2,5.1,8.5,7.2,0,3.8,4.9,1.7,0,5.1,0.2,0,7.7,0,0.1,4,0.6,5.7,4.7,,13.2,,2.9,0.9,2.4,1.8,1.4,5.9,5,0,0,0.1,0
21,4.4,5.6,10.8,0,18.6,0,0,10.7,3.2,5.4,14.2,0,6.1,0.6,0.1,0,7.7,4.4,0.1,1.2,0,0,12.6,0.5,1.7,3.1,,0.5,,15.7,0,2.2,0,0,2.4,6.4,0,0,3.5,0.7
22,13.1,1.1,1.4,4.2,10,0,0,19.9,3,20.3,9,0,1.7,2,0,0.1,2.9,0.2,0,0.2,0,0.4,10.5,3.3,4.4,2.4,,5.3,,6.3,5.3,0,9.8,11.2,1.8,5.5,1.9,0,0.2,5.2
23,9.7,0.6,13.5,3.2,22.6,0,0,9.9,0.9,14.9,2.9,0,1.4,2.1,1.2,0,4.6,1.1,0.1,0,3.2,2.6,3.7,1.8,2.7,7.8,,8.3,,1.6,3,0,3.4,3.9,13.3,8.5,0.3,0,0.1,0.1
24,0,0,6,1.2,3.5,0.6,0,3.1,0.6,5.9,4.3,0,0,5.3,6,0.5,1,5.1,2.1,0,3.5,0,8.6,2.1,6.5,0.1,,8.2,,5.3,0.4,6.3,0,0.4,16.4,0.2,1.9,0,0,0
25,0.9,0,0.2,0,6.6,0,0,6.4,0,5.7,6,0,0,2.1,3.1,0,10.5,1.4,0.5,0,9.3,0,14.9,6.2,0.9,2.4,,2,,10.6,16.9,8.3,8.6,0,11.5,0.5,1.3,1.6,0.3,1.5
26,2,0,0,0,8.5,0,0,7.7,0.6,4.8,16.3,0,0.4,5.1,14.7,3,5.6,6.5,0.1,0.2,2.9,3.2,20,1.4,16.7,4.5,,12.2,,1.2,15.4,2.4,9,5.4,11.6,4.8,2.7,12.2,0,0
27,1.1,0,3.2,0,3.1,0,0,6.5,0,1.6,2.4,0,0,0.3,0,0,1.1,14.9,6,0,0.8,0.7,12.9,0,6.8,17.6,,6.6,,1.3,5.3,0,0,1.2,5.8,2,1.3,6.2,0,0
