Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
1,1.6,0.6,0.5,17.7,3.3,1.1,0.7,3.3,1.7,0.3,7.2,3.4,0,3.5,1.2,0.2,8.7,0,0.8,0.2,22.5,3.6,3,4.9,0,0.2,1.2,4.1,0,1.7,3,0.1,0.3,0.1,12.8,1.1,7.3,3.5,0
2,0.8,1.1,0.9,11.2,1.1,3.3,6.9,5.6,2,6.5,12.7,4.1,0,1.5,12.1,2.1,22.5,0,0,0.1,1.3,5.4,1.9,3.2,2.6,0.7,0.9,2.1,0,3,0.6,0.7,0.8,16.9,2.8,5.7,3.3,0.5,0
3,0.2,1,7.7,1.1,2.7,5.2,3.3,6.4,2.5,0,1.5,1.1,6,8.7,0.7,2.4,14.8,0,0,0.3,7.1,9,10.2,8.5,4.4,1.4,1.6,19.4,0,0.1,5.5,0,1.5,0.1,11.8,4.8,25,0,0
4,1.3,0.3,2.3,1.3,0,8.6,0.1,8.9,11,0.5,14.5,8,1.4,16.5,8.4,0.6,13.2,0,0,15.5,6.6,0.9,4.8,6.1,1.2,0.3,0.7,0.2,18.7,1.5,9.8,0,0,0,2.9,2.2,6,2.5,0
5,14.2,0,8.5,1,0,6.2,6.2,10,6.3,0.1,9.6,3.9,3.2,21.8,0.3,0.6,4.4,0,0,0.7,1.2,4.1,9.2,14,4.2,2,4.1,0.1,3.4,0.2,10.5,4,0,0,3.4,0.1,0.9,0.4,0.9
6,0,5,1.3,0,0,19.5,4.1,10.3,6.1,0,2.4,7.1,0.2,19.9,0,1.4,5.5,0,0.2,0.1,3.4,2.1,10,3.7,5,2,11.7,0,6.9,0,4.1,1.1,0,0,3.9,2.3,6,9.9,0
7,9.5,0.4,2.4,0,12.4,6.9,5.5,0.1,11.1,0,11,0.3,15,0.8,0,4.8,0.5,19,2.2,4.2,0.4,6.4,3.3,0,5,13,2.2,0,10.3,0,9.2,0.2,5.1,0,10.1,1.7,3.3,4.6,0
8,2,3.4,1.1,0,28.9,3.1,8.2,0.1,5.5,0,7.3,0.2,26.9,5.8,0,3.4,9.2,1.6,1.1,0.8,1,2.4,4.9,5.4,3.7,0.2,13.3,4.4,14.2,0,0.9,0.2,14.7,0,6.4,8.7,4.3,6.1,0
9,0.2,0.4,4.6,0,7.1,8.5,6.5,0,17.4,0,4.4,10.6,0.7,3.6,0,4.8,0.2,5.9,1.2,6.8,0.1,14.7,14.9,1.5,1.2,1.8,4.9,10.4,15.1,10,0.2,0,4.3,0,5.7,1.5,17.7,6.4,0
10,3.7,0,1.7,0,8.1,0.5,12.4,0,6.4,0,5.9,1.2,4.3,1.6,0,2.4,0,9.8,1.2,0.5,0.1,0,5.2,1,5.1,0.9,14.3,0.3,2.6,20.5,10.7,0.1,0.7,0,18.2,8.2,2.4,8,2.2
11,2.2,0,11.6,14.8,5.1,0.8,6.3,0,0.1,0,21.1,5.2,1.5,3.8,0,3.9,0,6,8.2,8.2,0,0,3,0.1,5.9,16.3,3.9,7.6,12.9,11.8,1,0.3,8.8,6.7,5.4,2.6,6.3,0.2,0.2
12,1,0,13.2,26.4,10.6,3.4,13.3,0,1.5,15,6,20.2,0.5,5.6,0,0.6,0,5,4.2,2.5,2.1,0,0.4,0.1,2.2,0.2,0.4,4.5,0.4,9.7,0,4,1.2,0.1,4,9.3,6.4,0,0
13,11.9,0.5,4.2,13.7,1.3,0.9,5.2,2,5.4,1.2,11.4,6.3,0,30,0,0.1,0,1.4,17.3,0.2,0,0,0,0,11.7,2.4,1.9,1,0,5.1,0,16.6,7.6,4.3,5.5,0.4,0.2,0,0
14,7.7,13.2,11.4,5.7,9.9,0,4.2,1.5,0.1,6.4,11.8,0.5,0.4,1.4,14.5,0.2,0,2.2,7.3,2.5,0,0,0.3,1,6.7,0,3,0.4,0.2,10.3,0,3.6,4.4,18.1,8.3,3.5,20.9,0.2,0
15,2.4,9.1,11,4.2,9.2,2.4,2.3,4.9,3,11.4,0.3,5.6,1.5,1.1,15.8,0.1,0,4.4,2.1,1.4,0,0.1,0,0,5.1,0.3,1,9.6,0.3,4.3,0,4,1.8,5.3,0,2.3,2,0.9,0.2
16,5.1,1.8,4.4,6.2,5.2,13.6,8.9,2.1,26.1,2,5,0.4,0.9,2.2,10.9,0,0,0.5,5,2.5,0,1.1,1.7,0,5.5,2.1,1.3,6.4,0.8,6.2,0.1,0.3,0.3,5,15.3,2.3,2.1,0,0
17,4.3,6.2,17.4,7,7.6,2.9,9.2,5.4,1.5,0.7,0.3,0,6.2,0.4,0,0,0,2.1,3,1.6,0,0,2,0.1,5.7,2.6,0.8,8.2,10,1.3,4.5,0.2,9.3,1.6,9.8,4,0.4,1.6,0
18,2.8,0.5,13.3,3.5,4.5,4.6,1.8,6.4,2.8,7.5,0.6,0,3.2,11,5.8,4.3,0,18.8,0.3,0.2,0,0,3.4,1.7,1.6,2.8,0.1,8.5,3.5,7,6.2,0,0,0.5,5.4,6.9,0.2,0,0
